"index","sample","centered"
"0","141","2"
"1","141","2"
"2","139","0"
"3","139","0"
"4","141","2"
"5","141","2"
"6","141","2"
"7","141","2"
"8","138","-1"
"9","141","2"
"10","139","0"
"11","139","0"
"12","141","2"
"13","141","2"
"14","139","0"
"15","139","0"
"16","140","1"
"17","139","0"
"18","140","1"
"19","141","2"
"20","132","-7"
"21","139","0"
"22","139","0"
"23","140","1"
"24","140","1"
"25","139","0"
"26","141","2"
"27","141","2"
"28","138","-1"
"29","138","-1"
"30","141","2"
"31","141","2"
"32","138","-1"
"33","138","-1"
"34","138","-1"
"35","139","0"
"36","141","2"
"37","141","2"
"38","139","0"
"39","141","2"
"40","135","-4"
"41","138","-1"
"42","139","0"
"43","139","0"
"44","139","0"
"45","138","-1"
"46","141","2"
"47","141","2"
"48","141","2"
"49","141","2"
"50","138","-1"
"51","138","-1"
"52","139","0"
"53","138","-1"
"54","139","0"
"55","138","-1"
"56","138","-1"
"57","140","1"
"58","138","-1"
"59","140","1"
"60","139","0"
"61","139","0"
"62","140","1"
"63","140","1"
"64","139","0"
"65","140","1"
"66","140","1"
"67","141","2"
"68","138","-1"
"69","138","-1"
"70","138","-1"
"71","138","-1"
"72","141","2"
"73","140","1"
"74","139","0"
"75","141","2"
"76","138","-1"
"77","137","-2"
"78","141","2"
"79","141","2"
"80","139","0"
"81","139","0"
"82","138","-1"
"83","140","1"
"84","141","2"
"85","141","2"
"86","141","2"
"87","140","1"
"88","138","-1"
"89","141","2"
"90","138","-1"
"91","138","-1"
"92","141","2"
"93","141","2"
"94","139","0"
"95","141","2"
"96","138","-1"
"97","138","-1"
"98","138","-1"
"99","141","2"
"100","138","-1"
"101","138","-1"
"102","140","1"
"103","139","0"
"104","138","-1"
"105","138","-1"
"106","140","1"
"107","140","1"
"108","137","-2"
"109","140","1"
"110","138","-1"
"111","139","0"
"112","140","1"
"113","140","1"
"114","141","2"
"115","140","1"
"116","138","-1"
"117","138","-1"
"118","140","1"
"119","138","-1"
"120","140","1"
"121","141","2"
"122","140","1"
"123","140","1"
"124","138","-1"
"125","141","2"
"126","138","-1"
"127","140","1"
"128","141","2"
"129","139","0"
"130","140","1"
"131","142","3"
"132","138","-1"
"133","139","0"
"134","141","2"
"135","142","3"
"136","139","0"
"137","139","0"
"138","141","2"
"139","142","3"
"140","138","-1"
"141","139","0"
"142","141","2"
"143","141","2"
"144","141","2"
"145","141","2"
"146","138","-1"
"147","141","2"
"148","139","0"
"149","139","0"
"150","142","3"
"151","141","2"
"152","139","0"
"153","139","0"
"154","141","2"
"155","141","2"
"156","141","2"
"157","141","2"
"158","140","1"
"159","138","-1"
"160","139","0"
"161","134","-5"
"162","140","1"
"163","141","2"
"164","140","1"
"165","139","0"
"166","141","2"
"167","142","3"
"168","139","0"
"169","139","0"
"170","142","3"
"171","139","0"
"172","141","2"
"173","142","3"
"174","138","-1"
"175","139","0"
"176","141","2"
"177","141","2"
"178","141","2"
"179","141","2"
"180","139","0"
"181","137","-2"
"182","141","2"
"183","142","3"
"184","144","5"
"185","139","0"
"186","141","2"
"187","140","1"
"188","140","1"
"189","139","0"
"190","141","2"
"191","141","2"
"192","139","0"
"193","138","-1"
"194","139","0"
"195","139","0"
"196","141","2"
"197","142","3"
"198","138","-1"
"199","139","0"
"200","142","3"
"201","142","3"
"202","138","-1"
"203","138","-1"
"204","141","2"
"205","142","3"
"206","139","0"
"207","141","2"
"208","139","0"
"209","139","0"
"210","141","2"
"211","149","10"
"212","139","0"
"213","137","-2"
"214","140","1"
"215","139","0"
"216","138","-1"
"217","139","0"
"218","142","3"
"219","141","2"
"220","138","-1"
"221","139","0"
"222","139","0"
"223","140","1"
"224","138","-1"
"225","139","0"
"226","139","0"
"227","139","0"
"228","139","0"
"229","138","-1"
"230","141","2"
"231","138","-1"
"232","141","2"
"233","139","0"
"234","141","2"
"235","140","1"
"236","140","1"
"237","141","2"
"238","141","2"
"239","139","0"
"240","141","2"
"241","139","0"
"242","141","2"
"243","139","0"
"244","141","2"
"245","138","-1"
"246","140","1"
"247","138","-1"
"248","139","0"
"249","138","-1"
"250","140","1"
"251","138","-1"
"252","139","0"
"253","141","2"
"254","138","-1"
"255","142","3"
"256","141","2"
"257","139","0"
"258","139","0"
"259","142","3"
"260","141","2"
"261","140","1"
"262","141","2"
"263","141","2"
"264","140","1"
"265","141","2"
"266","138","-1"
"267","142","3"
"268","138","-1"
"269","141","2"
"270","141","2"
"271","140","1"
"272","141","2"
"273","139","0"
"274","139","0"
"275","139","0"
"276","138","-1"
"277","138","-1"
"278","139","0"
"279","141","2"
"280","140","1"
"281","140","1"
"282","140","1"
"283","139","0"
"284","139","0"
"285","141","2"
"286","141","2"
"287","138","-1"
"288","139","0"
"289","141","2"
"290","136","-3"
"291","138","-1"
"292","139","0"
"293","141","2"
"294","140","1"
"295","139","0"
"296","142","3"
"297","138","-1"
"298","142","3"
"299","138","-1"
"300","139","0"
"301","146","7"
"302","138","-1"
"303","142","3"
"304","140","1"
"305","141","2"
"306","146","7"
"307","141","2"
"308","139","0"
"309","144","5"
"310","141","2"
"311","139","0"
"312","140","1"
"313","139","0"
"314","141","2"
"315","138","-1"
"316","141","2"
"317","141","2"
"318","140","1"
"319","138","-1"
"320","138","-1"
"321","140","1"
"322","138","-1"
"323","140","1"
"324","138","-1"
"325","141","2"
"326","137","-2"
"327","141","2"
"328","138","-1"
"329","141","2"
"330","138","-1"
"331","139","0"
"332","141","2"
"333","142","3"
"334","140","1"
"335","140","1"
"336","140","1"
"337","138","-1"
"338","142","3"
"339","138","-1"
"340","138","-1"
"341","140","1"
"342","138","-1"
"343","141","2"
"344","138","-1"
"345","138","-1"
"346","141","2"
"347","139","0"
"348","140","1"
"349","142","3"
"350","140","1"
"351","141","2"
"352","138","-1"
"353","140","1"
"354","139","0"
"355","138","-1"
"356","141","2"
"357","139","0"
"358","140","1"
"359","140","1"
"360","138","-1"
"361","141","2"
"362","139","0"
"363","141","2"
"364","139","0"
"365","139","0"
"366","140","1"
"367","141","2"
"368","138","-1"
"369","138","-1"
"370","140","1"
"371","141","2"
"372","138","-1"
"373","138","-1"
"374","141","2"
"375","137","-2"
"376","140","1"
"377","141","2"
"378","138","-1"
"379","138","-1"
"380","141","2"
"381","140","1"
"382","137","-2"
"383","138","-1"
"384","140","1"
"385","141","2"
"386","142","3"
"387","141","2"
"388","139","0"
"389","139","0"
"390","141","2"
"391","136","-3"
"392","141","2"
"393","140","1"
"394","139","0"
"395","138","-1"
"396","141","2"
"397","141","2"
"398","139","0"
"399","138","-1"
"400","139","0"
"401","139","0"
"402","141","2"
"403","141","2"
"404","140","1"
"405","138","-1"
"406","141","2"
"407","144","5"
"408","141","2"
"409","141","2"
"410","138","-1"
"411","141","2"
"412","142","3"
"413","138","-1"
"414","142","3"
"415","136","-3"
"416","141","2"
"417","139","0"
"418","141","2"
"419","140","1"
"420","140","1"
"421","142","3"
"422","142","3"
"423","139","0"
"424","139","0"
"425","140","1"
"426","140","1"
"427","141","2"
"428","138","-1"
"429","141","2"
"430","142","3"
"431","142","3"
"432","138","-1"
"433","140","1"
"434","138","-1"
"435","138","-1"
"436","144","5"
"437","138","-1"
"438","141","2"
"439","139","0"
"440","140","1"
"441","142","3"
"442","141","2"
"443","141","2"
"444","138","-1"
"445","141","2"
"446","139","0"
"447","141","2"
"448","142","3"
"449","139","0"
"450","141","2"
"451","141","2"
"452","139","0"
"453","141","2"
"454","138","-1"
"455","141","2"
"456","138","-1"
"457","138","-1"
"458","141","2"
"459","139","0"
"460","141","2"
"461","140","1"
"462","139","0"
"463","139","0"
"464","139","0"
"465","138","-1"
"466","140","1"
"467","139","0"
"468","140","1"
"469","141","2"
"470","138","-1"
"471","139","0"
"472","141","2"
"473","141","2"
"474","141","2"
"475","141","2"
"476","139","0"
"477","139","0"
"478","139","0"
"479","138","-1"
"480","146","7"
"481","145","6"
"482","139","0"
"483","142","3"
"484","139","0"
"485","140","1"
"486","139","0"
"487","139","0"
"488","142","3"
"489","141","2"
"490","142","3"
"491","142","3"
"492","139","0"
"493","139","0"
"494","142","3"
"495","140","1"
"496","142","3"
"497","142","3"
"498","141","2"
"499","142","3"
"500","141","2"
"501","141","2"
"502","141","2"
"503","141","2"
"504","139","0"
"505","139","0"
"506","139","0"
"507","141","2"
"508","141","2"
"509","142","3"
"510","139","0"
"511","139","0"
"512","142","3"
"513","142","3"
"514","138","-1"
"515","139","0"
"516","141","2"
"517","142","3"
"518","140","1"
"519","141","2"
"520","139","0"
"521","139","0"
"522","142","3"
"523","142","3"
"524","139","0"
"525","141","2"
"526","139","0"
"527","139","0"
"528","141","2"
"529","141","2"
"530","139","0"
"531","139","0"
"532","141","2"
"533","140","1"
"534","139","0"
"535","140","1"
"536","140","1"
"537","138","-1"
"538","139","0"
"539","140","1"
"540","142","3"
"541","140","1"
"542","141","2"
"543","140","1"
"544","140","1"
"545","139","0"
"546","142","3"
"547","142","3"
"548","140","1"
"549","141","2"
"550","138","-1"
"551","141","2"
"552","139","0"
"553","138","-1"
"554","140","1"
"555","139","0"
"556","141","2"
"557","139","0"
"558","142","3"
"559","141","2"
"560","139","0"
"561","138","-1"
"562","140","1"
"563","138","-1"
"564","141","2"
"565","142","3"
"566","139","0"
"567","140","1"
"568","139","0"
"569","139","0"
"570","139","0"
"571","139","0"
"572","140","1"
"573","139","0"
"574","142","3"
"575","138","-1"
"576","141","2"
"577","138","-1"
"578","140","1"
"579","138","-1"
"580","139","0"
"581","141","2"
"582","139","0"
"583","141","2"
"584","140","1"
"585","141","2"
"586","140","1"
"587","141","2"
"588","141","2"
"589","138","-1"
"590","141","2"
"591","139","0"
"592","141","2"
"593","139","0"
"594","141","2"
"595","141","2"
"596","140","1"
"597","141","2"
"598","140","1"
"599","138","-1"
"600","139","0"
"601","138","-1"
"602","142","3"
"603","139","0"
"604","140","1"
"605","141","2"
"606","139","0"
"607","138","-1"
"608","141","2"
"609","141","2"
"610","139","0"
"611","138","-1"
"612","140","1"
"613","138","-1"
"614","141","2"
"615","138","-1"
"616","141","2"
"617","139","0"
"618","141","2"
"619","139","0"
"620","140","1"
"621","142","3"
"622","138","-1"
"623","139","0"
"624","141","2"
"625","139","0"
"626","141","2"
