"index","sample","centered"
"0","140","1"
"1","140","1"
"2","140","1"
"3","140","1"
"4","140","1"
"5","140","1"
"6","140","1"
"7","142","3"
"8","140","1"
"9","142","3"
"10","141","2"
"11","142","3"
"12","142","3"
"13","140","1"
"14","142","3"
"15","139","0"
"16","139","0"
"17","142","3"
"18","142","3"
"19","139","0"
"20","141","2"
"21","140","1"
"22","140","1"
"23","140","1"
"24","142","3"
"25","139","0"
"26","140","1"
"27","139","0"
"28","142","3"
"29","139","0"
"30","142","3"
"31","139","0"
"32","142","3"
"33","139","0"
"34","141","2"
"35","141","2"
"36","141","2"
"37","141","2"
"38","141","2"
"39","139","0"
"40","143","4"
"41","141","2"
"42","141","2"
"43","140","1"
"44","142","3"
"45","139","0"
"46","138","-1"
"47","141","2"
"48","141","2"
"49","141","2"
"50","138","-1"
"51","141","2"
"52","139","0"
"53","140","1"
"54","139","0"
"55","142","3"
"56","139","0"
"57","140","1"
"58","139","0"
"59","139","0"
"60","140","1"
"61","139","0"
"62","140","1"
"63","141","2"
"64","139","0"
"65","139","0"
"66","139","0"
"67","140","1"
"68","138","-1"
"69","141","2"
"70","138","-1"
"71","141","2"
"72","140","1"
"73","138","-1"
"74","141","2"
"75","140","1"
"76","141","2"
"77","139","0"
"78","138","-1"
"79","140","1"
"80","138","-1"
"81","141","2"
"82","138","-1"
"83","141","2"
"84","138","-1"
"85","138","-1"
"86","141","2"
"87","138","-1"
"88","140","1"
"89","140","1"
"90","138","-1"
"91","138","-1"
"92","138","-1"
"93","132","-7"
"94","145","6"
"95","141","2"
"96","137","-2"
"97","140","1"
"98","140","1"
"99","139","0"
"100","140","1"
"101","140","1"
"102","140","1"
"103","137","-2"
"104","138","-1"
"105","140","1"
"106","138","-1"
"107","137","-2"
"108","140","1"
"109","140","1"
"110","138","-1"
"111","137","-2"
"112","140","1"
"113","140","1"
"114","138","-1"
"115","137","-2"
"116","137","-2"
"117","136","-3"
"118","136","-3"
"119","137","-2"
"120","137","-2"
"121","138","-1"
"122","140","1"
"123","138","-1"
"124","138","-1"
"125","137","-2"
"126","137","-2"
"127","138","-1"
"128","141","2"
"129","140","1"
"130","136","-3"
"131","139","0"
"132","138","-1"
"133","137","-2"
"134","140","1"
"135","137","-2"
"136","139","0"
"137","139","0"
"138","138","-1"
"139","136","-3"
"140","139","0"
"141","139","0"
"142","137","-2"
"143","136","-3"
"144","140","1"
"145","138","-1"
"146","140","1"
"147","137","-2"
"148","137","-2"
"149","138","-1"
"150","138","-1"
"151","138","-1"
"152","140","1"
"153","137","-2"
"154","139","0"
"155","138","-1"
"156","139","0"
"157","140","1"
"158","139","0"
"159","140","1"
"160","139","0"
"161","137","-2"
