frame,time_ms,detected_hz,string_id,string_name,state_id,state_name,cents_x10,confidence,yin_tau,corr_hz,corr_string_id,corr_string_name,corr_cents_x10,corr_confidence,corr_tau,fft_peak_hz,signal_amplitude
0,0,256.461478,255,unknown,4,unknown,668,0.365838,0,256.461478,4,B,668,0.365838,62,197.892115,2493
1,64,258.865038,255,unknown,4,unknown,836,0.582712,0,258.865038,4,B,836,0.582712,62,201.775290,27713
2,128,402.229118,255,unknown,4,unknown,3813,0.690205,0,402.229118,5,high E,3813,0.690205,40,197.333567,28226
3,192,197.329139,3,G,3,sharp,117,0.884461,0,197.329139,3,G,117,0.884461,81,195.643498,28226
4,256,196.400888,3,G,1,in tune,35,0.912983,0,196.400888,3,G,35,0.912983,81,194.697142,28226
5,320,195.504115,255,unknown,4,unknown,-44,0.685964,0,195.504115,3,G,-44,0.685964,82,97.345386,27612
6,384,98.558388,1,A,2,flat,-1801,0.942201,0,98.558388,1,A,-1801,0.942201,162,97.534131,11840
7,448,98.710057,1,A,2,flat,-1777,0.914064,0,98.710057,1,A,-1777,0.914064,162,97.505963,23629
8,512,97.774010,1,A,2,flat,-1924,0.904408,0,97.774010,1,A,-1924,0.904408,164,97.229879,23629
9,576,147.480180,255,unknown,4,unknown,77,0.439023,0,147.480180,2,D,77,0.439023,108,146.608355,23629
10,640,147.643145,2,D,3,sharp,96,0.799469,0,147.643145,2,D,96,0.799469,108,146.942517,24008
11,704,147.591458,2,D,3,sharp,90,0.926696,0,147.591458,2,D,90,0.926696,108,146.933948,23335
12,768,147.361283,2,D,3,sharp,63,0.958667,0,147.361283,2,D,63,0.958667,109,146.884544,23335
13,832,147.241600,2,D,1,in tune,49,0.956857,0,147.241600,2,D,49,0.956857,109,146.950524,22736
14,896,147.249548,2,D,1,in tune,49,0.753601,0,147.249548,2,D,49,0.753601,109,195.200891,22736
15,960,198.302745,255,unknown,4,unknown,203,0.636899,0,198.302745,3,G,203,0.636899,81,194.877975,22390
16,1024,188.789292,3,G,2,flat,-637,0.884878,0,188.789292,3,G,-637,0.884878,85,194.511290,20894
17,1088,184.834875,3,G,2,flat,-986,0.781338,0,184.834875,3,G,-986,0.781338,87,195.488857,12806
18,1152,184.123003,3,G,2,flat,-1049,0.710592,0,184.123003,3,G,-1049,0.710592,87,197.032913,23791
19,1216,369.367814,255,unknown,4,unknown,2087,0.584469,0,369.367814,5,high E,2087,0.584469,43,197.892376,23791
20,1280,236.810378,255,unknown,4,unknown,-710,0.553346,0,236.810378,4,B,-710,0.553346,68,246.727975,23791
21,1344,243.507681,4,B,2,flat,-241,0.726484,0,243.507681,4,B,-241,0.726484,66,246.965876,23791
22,1408,248.168098,4,B,3,sharp,86,0.901941,0,248.168098,4,B,86,0.901941,64,246.846641,19963
23,1472,247.403168,4,B,1,in tune,32,0.929669,0,247.403168,4,B,32,0.929669,65,246.792487,21128
24,1536,246.992643,4,B,1,in tune,4,0.946461,0,246.992643,4,B,4,0.946461,65,246.800403,21128
25,1600,246.840321,4,B,1,in tune,-7,0.851504,0,246.840321,4,B,-7,0.851504,65,246.762181,21128
26,1664,246.665363,4,B,1,in tune,-19,0.811480,0,246.665363,4,B,-19,0.811480,65,246.703473,21128
27,1728,247.428031,4,B,1,in tune,34,0.824128,0,247.428031,4,B,34,0.824128,65,246.916567,19145
28,1792,247.927281,4,B,3,sharp,69,0.824123,0,247.927281,4,B,69,0.824123,65,249.437292,19145
29,1856,248.175625,4,B,3,sharp,87,0.714781,0,248.175625,4,B,87,0.714781,64,251.003791,23011
30,1920,126.934249,255,unknown,4,unknown,-2346,0.551994,0,126.934249,2,D,-2346,0.551994,126,249.192852,23011
31,1984,241.491086,255,unknown,4,unknown,-382,0.493998,0,241.491086,4,B,-382,0.493998,66,246.997732,23011
32,2048,246.089413,4,B,2,flat,-60,0.771892,0,246.089413,4,B,-60,0.771892,65,247.047163,23011
33,2112,247.508726,4,B,1,in tune,40,0.896893,0,247.508726,4,B,40,0.896893,65,246.897122,20248
34,2176,247.835655,4,B,3,sharp,63,0.916313,0,247.835655,4,B,63,0.916313,65,246.797385,19587
35,2240,246.469656,4,B,1,in tune,-33,0.873735,0,246.469656,4,B,-33,0.873735,65,246.773068,21646
36,2304,245.875480,4,B,2,flat,-75,0.832866,0,245.875480,4,B,-75,0.832866,65,246.719019,33539
37,2368,246.507512,4,B,1,in tune,-30,0.854672,0,246.507512,4,B,-30,0.854672,65,195.389588,33539
38,2432,196.680998,3,G,3,sharp,60,0.936960,0,196.680998,3,G,60,0.936960,81,195.240774,33539
39,2496,196.427316,3,G,1,in tune,38,0.991405,0,196.427316,3,G,38,0.991405,81,194.634893,33539
40,2560,196.849414,3,G,3,sharp,75,0.847400,0,196.849414,3,G,75,0.847400,81,199.170773,30434
41,2624,197.372834,3,G,3,sharp,121,0.864907,0,197.372834,3,G,121,0.864907,81,195.800658,30434
42,2688,196.628396,3,G,3,sharp,56,0.970338,0,196.628396,3,G,56,0.970338,81,195.024936,30434
43,2752,195.720326,3,G,1,in tune,-25,0.878078,0,195.720326,3,G,-25,0.878078,82,195.019960,24403
44,2816,196.397017,255,unknown,4,unknown,35,0.606387,0,196.397017,3,G,35,0.606387,81,147.201697,23422
45,2880,196.457949,255,unknown,4,unknown,40,0.315375,0,196.457949,3,G,40,0.315375,81,149.737964,20881
46,2944,147.009648,255,unknown,4,unknown,21,0.424318,0,147.009648,2,D,21,0.424318,109,246.841535,18628
47,3008,82.001920,255,unknown,4,unknown,-86,0.642950,0,82.001920,0,low E,-86,0.642950,195,246.977414,23241
48,3072,246.246270,4,B,1,in tune,-49,0.815657,0,246.246270,4,B,-49,0.815657,65,249.003285,24144
49,3136,126.037949,2,D,2,flat,-2452,0.752059,0,126.037949,2,D,-2452,0.752059,127,131.894803,24144
50,3200,130.663135,2,D,2,flat,-1906,0.942452,0,130.663135,2,D,-1906,0.942452,122,131.701162,24144
51,3264,131.081673,2,D,2,flat,-1857,0.987535,0,131.081673,2,D,-1857,0.987535,122,131.533578,24144
52,3328,131.132478,2,D,2,flat,-1851,0.988562,0,131.132478,2,D,-1851,0.988562,122,131.312408,25523
53,3392,131.001222,2,D,2,flat,-1866,0.984965,0,131.001222,2,D,-1866,0.984965,122,131.160958,27311
54,3456,131.803341,2,D,2,flat,-1772,0.830333,0,131.803341,2,D,-1772,0.830333,121,164.644933,27311
55,3520,139.121091,255,unknown,4,unknown,-909,0.588913,0,139.121091,2,D,-909,0.588913,115,164.962806,27311
56,3584,142.166922,255,unknown,4,unknown,-550,0.586701,0,142.166922,2,D,-550,0.586701,113,165.311602,27264
57,3648,140.772929,255,unknown,4,unknown,-714,0.615555,0,140.772929,2,D,-714,0.615555,114,130.970302,25418
58,3712,138.996168,255,unknown,4,unknown,-924,0.625942,0,138.996168,2,D,-924,0.625942,115,130.962696,28167
